"ID","Z","Z_SE","psm_crit","alpha","coho.pres.m","score.coho.pres","cols.coho.pres","chin.pres.m","score.chin.pres","cols.chin.pres","numspp","score.numspp","cols.numspp"
2578,-0.391622388186442,0.139038387580397,0.3,0.95,"16651","4.12065299922545","#083675","-9999","-9999","-9999","2","1.29434385007358","#2979B9"
1507,-1.04683365646851,0.127357547528636,0.3,0.95,"16721","4.13329718908614","#00491D","-9999","-9999","-9999","1","2.62466460335415","#DDF1D7"
1536,-0.682031447315167,0.13045469144671,0.3,0.95,"16521","4.14885108462714","#004A1D","-9999","-9999","-9999","1","2.58395246697844","#C9EAC3"
1953,-0.645413862626606,0.147743785520211,0.3,0.95,"16311","4.18993373372253","#004B1E","-9999","-9999","-9999","3","0.0642135686887191","#004B1D"
2613,-0.279349404735651,0.126932920948696,0.3,0.95,"16327","4.19678540857695","#083775","11450","5.83636197559599","#084184","3","0.298778707603563","#083D7F"
1242,-0.302028568178268,0.127017083055377,0.3,0.95,"16162","4.22725171591793","#083776","12412","5.61098265504085","#083C7D","3","0.243712196553281","#083B7B"
2090,0.166588147475431,0.14423829464876,0.3,0.95,"16491","4.23363093729075","#083776","11209","5.94227782880929","#084388","3","0.826060160887782","#0E59A2"
1936,-1.13445338445807,0.154406898364216,0.3,0.95,"15963","4.29369011541361","#004C1E","-9999","-9999","-9999","2","1.39293856981297","#76C577"
399,0.906740513115754,0.134550941524363,0.3,0.95,"17047","4.29908689768558","#083876","13582","5.53514189964607","#083978","3","1.47698970779507","#529CCC"
2306,-0.571375981758859,0.135531534474004,0.3,0.95,"15742","4.30701088685464","#004C1E","-9999","-9999","-9999","1","2.57952368402083","#C4E7BD"
2327,-0.342034929204333,0.13648718543266,0.3,0.95,"15631","4.33343722731517","#083877","12617","5.56091080226958","#083A7A","3","0.174829723846924","#083674"
159,-0.23406862562443,0.136288620384283,0.3,0.95,"15584","4.35080458443463","#083877","1762","8.08071120113824","#ABCFE5","3","0.311796785310923","#083E80"
932,-0.407994233333851,0.127531468202214,0.3,0.95,"15541","4.35349564631417","#083878","124","8.45700406371146","#D9E7F5","3","0.20849180310288","#083877"
2916,0.511152342565462,0.126171611413875,0.3,0.95,"16185","4.35960867675537","#083978","18","8.55158342059736","#E5F0F9","2","1.70276950816827","#6EAFD6"
2096,0.153569339145744,0.14162705861601,0.3,0.95,"15728","4.37872239605974","#083979","9574","6.3111977611414","#084E98","3","0.773443378639164","#0B559F"
2621,0.316844680010848,0.127419578232351,0.3,0.95,"15781","4.39203834064822","#083979","11246","5.94446526346821","#084489","3","0.899586806625817","#125EA6"
273,-1.16506062544703,0.149804425506764,0.3,0.95,"15500","4.39236867588935","#004D1E","12099","5.70545770239158","#005120","2","1.40468362180467","#7BC77B"
