"","site","psm_crit","alpha","delta_z"
"352","845",0.33,0.78,1.41809212299347
"353","845",0.34,0.78,1.44783688867737
"354","845",0.35,0.78,1.48027664692883
"355","845",0.36,0.78,1.51071161122175
"356","845",0.37,0.78,1.54523913769554
"357","845",0.38,0.78,1.57606455239315
"358","845",0.39,0.78,1.60665864803026
"359","845",0.4,0.78,1.63685555962329
"360","845",0.41,0.78,1.66461945707415
"361","845",0.42,0.78,1.69541759176498
"362","845",0.43,0.78,1.72422098007268
"363","845",0.44,0.78,1.75356179830193
"364","845",0.45,0.78,1.78005616530229
"365","845",0.46,0.78,1.80712360625361
"366","845",0.47,0.78,1.83520226223224
"367","845",0.48,0.78,1.8657082609771
"368","845",0.49,0.78,1.89396507762551
"369","845",0.5,0.78,1.92301700147105
"370","845",0.1,0.79,0.254235933489017
"371","845",0.11,0.79,0.333783189491864
"372","845",0.12,0.79,0.408256566219191
"373","845",0.13,0.79,0.47469794400655
"374","845",0.14,0.79,0.538202982964989
"375","845",0.15,0.79,0.603787769477928
"376","845",0.16,0.79,0.665837262629418
"377","845",0.17,0.79,0.726540485986904
"378","845",0.18,0.79,0.783649884424507
"379","845",0.19,0.79,0.834796511922453
"380","845",0.2,0.79,0.880354250701539
"381","845",0.21,0.79,0.925431018324788
"382","845",0.22,0.79,0.970935112076267
"383","845",0.23,0.79,1.01309670548901
"384","845",0.24,0.79,1.05378115856626
"385","845",0.25,0.79,1.09528047839856
"386","845",0.26,0.79,1.13411926566456
"387","845",0.27,0.79,1.17135997012653
"388","845",0.28,0.79,1.21104618068352
"389","845",0.29,0.79,1.24625118777319
"390","845",0.3,0.79,1.2810160481128
"391","845",0.31,0.79,1.31527641516454
"392","845",0.32,0.79,1.34882747831574
"393","845",0.33,0.79,1.38308606719759
"394","845",0.34,0.79,1.41279921237144
"395","845",0.35,0.79,1.44543010512337
"396","845",0.36,0.79,1.47562492584968
"397","845",0.37,0.79,1.50426922977097
"398","845",0.38,0.79,1.53388113607104
"399","845",0.39,0.79,1.56086734517357
"400","845",0.4,0.79,1.59193997790063
"401","845",0.41,0.79,1.62351463350825
"402","845",0.42,0.79,1.65624718671368
"403","845",0.43,0.79,1.68599368273926
"404","845",0.44,0.79,1.71385008929846
"405","845",0.45,0.79,1.74221220809876
"406","845",0.46,0.79,1.76930950216324
"407","845",0.47,0.79,1.79983463181632
"408","845",0.48,0.79,1.82773612021672
"409","845",0.49,0.79,1.854641325316
"410","845",0.5,0.79,1.8836556631157
"411","845",0.1,0.8,0.215469228648523
"412","845",0.11,0.8,0.297181288307419
"413","845",0.12,0.8,0.371388624175716
"414","845",0.13,0.8,0.437601340402058
"415","845",0.14,0.8,0.503988694285781
"416","845",0.15,0.8,0.566808071565703
"417","845",0.16,0.8,0.624583477905797
"418","845",0.17,0.8,0.682266894364796
"419","845",0.18,0.8,0.736201723631696
"420","845",0.19,0.8,0.787306074270234
"421","845",0.2,0.8,0.836942105909116
"422","845",0.21,0.8,0.880027054212046
"423","845",0.22,0.8,0.930557026549358
"424","845",0.23,0.8,0.973194996374855
"425","845",0.24,0.8,1.01485969492991
"426","845",0.25,0.8,1.05518197840447
"427","845",0.26,0.8,1.09469461360945
"428","845",0.27,0.8,1.1298817952243
"429","845",0.28,0.8,1.16762113513291
"430","845",0.29,0.8,1.20350031890271
"431","845",0.3,0.8,1.23710272945474
"432","845",0.31,0.8,1.273670991217
"433","845",0.32,0.8,1.3063591568284
"434","845",0.33,0.8,1.33804919491273
"435","845",0.34,0.8,1.36647119545205
"436","845",0.35,0.8,1.40433625522365
"437","845",0.36,0.8,1.4330601943761
"438","845",0.37,0.8,1.46601712370519
"439","845",0.38,0.8,1.49463904592639
"440","845",0.39,0.8,1.52792803850056
"441","845",0.4,0.8,1.55741539981583
"442","845",0.41,0.8,1.58372405832226
"443","845",0.42,0.8,1.60980114462714
"444","845",0.43,0.8,1.63787993700042
"445","845",0.44,0.8,1.66673832166303
"446","845",0.45,0.8,1.69714477385642
"447","845",0.46,0.8,1.7257510132217
"448","845",0.47,0.8,1.75522835301939
"449","845",0.48,0.8,1.78442325267658
"450","845",0.49,0.8,1.81470540360198
"451","845",0.5,0.8,1.84265910555094
"452","845",0.1,0.81,0.165609017266941
"453","845",0.11,0.81,0.246041803196889
"454","845",0.12,0.81,0.325096455331598
"455","845",0.13,0.81,0.398610114005865
"456","845",0.14,0.81,0.466423609632453
