"ID","conservation.action","Coho_Habitat_m","coho.rank","Chin_Habitat_m","chin.rank","nsp","nsp.rank"
890,"preservation",5196,179,NA,NA,2,167
891,"restoration",2144,642,NA,NA,2,550
892,"preservation",7508,111,NA,NA,1,337
893,"restoration",6184,309,1950,311,3,83
894,"restoration",1157,841,NA,NA,2,659
895,"restoration",6939,337,2800,313,3,542
896,"restoration",3560,546,NA,NA,2,600
897,"preservation",5826,158,143,172,2,231
898,"restoration",2161,613,NA,NA,2,438
899,"restoration",1226,714,377,403,3,179
900,"restoration",3352,520,NA,NA,2,481
901,"restoration",3559,510,1517,358,3,236
902,"preservation",10092,55,3610,93,3,59
903,"preservation",5285,174,NA,NA,1,372
904,"preservation",7335,116,NA,NA,2,205
905,"restoration",6932,296,3589,242,3,254
906,"restoration",8810,214,NA,NA,2,592
907,"restoration",4396,446,2203,309,3,197
908,"restoration",1875,635,NA,NA,2,457
909,"restoration",2329,598,NA,NA,2,443
910,"restoration",2482,622,NA,NA,2,580
911,"restoration",9776,144,2250,286,3,47
912,"preservation",11988,33,4493,82,3,39
913,"preservation",10957,45,NA,NA,2,140
914,"restoration",2424,594,NA,NA,2,472
915,"restoration",649,756,NA,NA,2,401
916,"restoration",3738,458,NA,NA,2,263
917,"restoration",5460,377,NA,NA,2,446
918,"preservation",5536,163,3310,99,3,12
919,"preservation",5788,156,8,178,3,37
920,"restoration",1661,671,NA,NA,1,812
921,"preservation",6901,121,NA,NA,2,241
922,"restoration",5847,327,NA,NA,2,261
923,"restoration",2981,547,NA,NA,2,460
924,"restoration",7121,294,NA,NA,1,853
925,"restoration",4308,439,2910,260,3,132
926,"restoration",5658,363,3101,255,3,188
927,"restoration",10145,134,1931,312,3,69
928,"restoration",1323,666,NA,NA,1,697
929,"preservation",5041,187,1362,144,3,2
930,"preservation",11204,42,12,179,3,52
931,"restoration",1855,641,NA,NA,1,807
932,"restoration",15541,33,124,407,3,31
933,"restoration",5770,335,NA,NA,1,733
934,"restoration",10923,113,365,395,3,72
935,"preservation",4240,220,1414,143,3,61
936,"preservation",5100,188,3973,89,3,67
937,"restoration",23335,9,13802,15,3,49
938,"preservation",2558,290,483,164,3,100
939,"restoration",1530,662,NA,NA,2,397
940,"restoration",4591,438,988,385,3,217
941,"preservation",4573,210,NA,NA,2,134
942,"restoration",6547,293,NA,NA,1,763
943,"preservation",9846,58,NA,NA,2,178
944,"restoration",7795,234,2789,269,3,180
946,"restoration",7048,254,2055,301,3,21
947,"restoration",1494,651,1738,322,3,39
949,"restoration",3638,502,3015,264,3,209
950,"restoration",2022,620,1252,363,3,148
951,"restoration",4844,427,1144,376,3,235
952,"restoration",4977,422,NA,NA,2,517
954,"restoration",4993,423,3220,258,3,244
955,"restoration",2162,631,2143,324,3,252
956,"restoration",1928,649,NA,NA,2,499
957,"restoration",110,826,NA,NA,2,390
958,"restoration",1414,772,1414,388,3,531
959,"restoration",1269,776,NA,NA,2,627
961,"restoration",1666,681,NA,NA,2,502
962,"restoration",2530,568,NA,NA,1,752
963,"restoration",742,838,NA,NA,2,595
964,"restoration",1395,729,NA,NA,2,554
967,"restoration",1152,715,NA,NA,1,775
968,"restoration",1884,618,NA,NA,1,724
969,"restoration",1157,695,NA,NA,2,309
971,"restoration",2239,653,NA,NA,1,864
975,"restoration",507,801,NA,NA,1,813
976,"restoration",115,872,NA,NA,2,508
979,"restoration",202,814,NA,NA,1,759
981,"restoration",876,809,NA,NA,2,596
982,"restoration",607,763,NA,NA,1,761
983,"restoration",200,816,NA,NA,1,760
985,"restoration",488,788,NA,NA,1,787
990,"restoration",68,850,NA,NA,1,772
994,"restoration",400,868,NA,NA,2,576
997,"restoration",7,897,7,448,3,357
1001,"restoration",2660,625,NA,NA,2,625
1002,"restoration",727,884,NA,NA,2,653
1005,"restoration",2,919,NA,NA,1,892
1008,"restoration",12,936,NA,NA,2,663
1009,"restoration",203,899,NA,NA,2,603
1011,"restoration",9,941,NA,NA,2,675
1012,"restoration",568,898,NA,NA,2,655
1017,"restoration",1987,658,NA,NA,2,544
1020,"restoration",1427,797,NA,NA,2,662
1021,"restoration",729,833,NA,NA,2,591
1022,"restoration",1213,725,NA,NA,2,492
1024,"restoration",142,907,NA,NA,1,886
1026,"restoration",166,815,NA,NA,1,749
1035,"restoration",2229,665,NA,NA,2,606
1038,"restoration",205,873,NA,NA,1,836
1042,"restoration",918,804,NA,NA,1,871
1045,"restoration",758,749,NA,NA,1,776
1046,"restoration",1758,628,NA,NA,2,375
1048,"restoration",328,807,NA,NA,1,784
1049,"restoration",293,787,NA,NA,2,354
1050,"restoration",2744,581,NA,NA,2,529
1051,"restoration",854,748,NA,NA,1,805
1052,"restoration",1285,705,NA,NA,1,792
1060,"restoration",210,876,NA,NA,1,837
1062,"restoration",458,909,NA,NA,2,668
1064,"restoration",176,900,NA,NA,2,613
1067,"restoration",570,779,NA,NA,1,798
1071,"restoration",1600,712,NA,NA,2,558
1073,"restoration",1074,754,NA,NA,1,838
1077,"restoration",2,867,NA,NA,2,441
1078,"restoration",368,796,NA,NA,2,419
1079,"restoration",826,757,NA,NA,1,808
1082,"restoration",9,932,2,463,3,549
1090,"restoration",608,798,NA,NA,2,510
1091,"restoration",577,795,NA,NA,2,495
1094,"restoration",51,914,NA,NA,1,884
1109,"restoration",44,886,44,441,3,240
1122,"restoration",7,871,7,433,3,189
1124,"restoration",37,865,NA,NA,2,445
1126,"restoration",1335,717,NA,NA,2,496
1127,"restoration",443,765,NA,NA,1,713
1130,"restoration",516,750,NA,NA,2,294
1133,"restoration",231,793,NA,NA,1,716
1136,"restoration",170,805,NA,NA,2,342
1137,"restoration",2144,589,NA,NA,2,334
1139,"restoration",662,742,NA,NA,1,728
1141,"restoration",1230,697,NA,NA,2,386
1144,"restoration",536,758,NA,NA,2,348
1145,"restoration",393,859,NA,NA,1,842
1146,"restoration",250,799,NA,NA,1,738
1147,"restoration",1251,682,NA,NA,2,332
1148,"restoration",1700,624,NA,NA,2,260
1149,"restoration",1179,690,NA,NA,2,308
1151,"preservation",3061,266,NA,NA,2,129
1152,"restoration",2148,586,NA,NA,2,289
1153,"restoration",502,752,275,397,2,280
1154,"restoration",13,819,13,414,2,284
1156,"restoration",285,778,NA,NA,2,281
1158,"restoration",6,840,NA,NA,2,362
1160,"preservation",864,355,866,155,3,16
1162,"restoration",1017,709,2,418,3,56
1172,"restoration",565,771,NA,NA,2,422
1178,"restoration",1441,654,NA,NA,2,270
1188,"preservation",4398,214,NA,NA,1,361
1189,"preservation",13284,26,13283,5,3,85
1190,"preservation",6404,132,6404,51,2,213
1192,"preservation",476,388,9660,19,2,240
1193,"preservation",693,365,3216,100,2,144
1195,"preservation",2761,277,12606,7,2,187
1204,"restoration",1540,645,5509,143,3,61
1205,"preservation",11578,38,6271,57,3,86
1206,"restoration",502,751,NA,NA,2,265
1207,"preservation",1074,348,NA,NA,2,243
1209,"preservation",468,417,468,170,3,116
1210,"preservation",4701,215,802,159,3,109
1211,"preservation",2366,291,NA,NA,2,226
1216,"preservation",6959,122,6303,59,3,95
1217,"preservation",531,382,NA,NA,2,219
1218,"preservation",211,402,NA,NA,2,168
1219,"preservation",1525,325,NA,NA,2,192
1220,"preservation",651,379,NA,NA,2,274
1224,"preservation",3366,251,3366,98,3,54
1225,"preservation",8963,75,7119,42,3,22
1230,"preservation",2321,310,2321,132,2,322
1231,"preservation",10240,57,8136,31,2,302
1232,"preservation",7684,107,5835,63,3,78
1233,"restoration",6535,281,5720,128,3,45
1238,"restoration",8399,185,5313,149,3,57
1239,"preservation",9830,64,9830,18,3,98
1240,"preservation",8333,90,7078,45,3,101
1241,"preservation",12364,31,8659,27,3,63
1242,"restoration",16162,28,12412,23,3,41
1243,"restoration",5135,393,2269,291,3,117
1244,"preservation",1536,322,NA,NA,1,338
1247,"preservation",621,373,NA,NA,2,156
1248,"restoration",433,762,NA,NA,2,266
