"ID","conservation.action","Coho_Habitat_m","coho.rank","Chin_Habitat_m","chin.rank","nsp","nsp.rank"
2770,"restoration",4931,474,4223,243,2,664
2771,"restoration",2542,702,NA,NA,1,927
2772,"restoration",7030,376,5747,187,2,687
2773,"restoration",7258,304,7258,113,2,616
2774,"restoration",8230,231,NA,NA,1,843
2775,"restoration",7638,310,4274,236,2,666
2776,"restoration",2479,766,1221,443,2,819
2778,"restoration",3343,630,2062,379,2,696
2779,"restoration",7197,392,3604,304,2,789
2780,"restoration",4564,460,NA,NA,1,869
2781,"restoration",3977,507,NA,NA,1,868
2782,"restoration",7063,287,2227,318,2,533
2783,"restoration",11320,124,5486,162,2,547
2784,"restoration",6366,341,4338,215,2,569
2785,"restoration",12318,114,9454,71,2,640
2786,"restoration",7708,308,6133,164,2,669
2787,"restoration",8163,256,5478,175,2,632
2788,"restoration",6978,397,3445,305,2,740
2789,"restoration",3944,587,2630,353,2,727
2790,"restoration",5189,456,NA,NA,1,915
2791,"restoration",12112,133,6915,135,2,680
2792,"restoration",1718,817,NA,NA,1,939
2793,"restoration",3137,669,3120,325,2,745
2794,"restoration",6528,406,6528,152,2,682
2795,"restoration",2772,683,2772,335,2,685
2796,"restoration",3217,591,1393,389,2,645
2797,"restoration",7299,288,3583,251,2,589
2798,"restoration",9872,197,7043,126,2,678
2799,"restoration",3187,579,NA,NA,1,881
2800,"restoration",5239,431,3148,275,2,604
2801,"restoration",5641,457,5624,199,2,722
2802,"restoration",8251,284,8241,100,2,681
2803,"restoration",8719,253,6926,129,2,667
2805,"restoration",282,930,NA,NA,1,923
2807,"restoration",2485,678,NA,NA,1,908
2808,"restoration",914,887,NA,NA,1,922
2809,"restoration",2567,736,NA,NA,1,949
2810,"restoration",139,944,NA,NA,1,932
2811,"restoration",518,925,NA,NA,1,933
2812,"restoration",1158,926,NA,NA,1,953
2813,"restoration",709,940,NA,NA,1,952
2814,"restoration",585,949,585,475,2,876
2816,"restoration",4295,534,4295,240,2,671
2823,"restoration",9,945,9,471,2,683
2824,"restoration",24,901,NA,NA,1,863
2827,"restoration",9,933,NA,NA,1,905
2830,"restoration",18,911,NA,NA,1,875
2833,"restoration",25,935,NA,NA,1,910
2835,"restoration",5,947,5,474,2,748
2838,"restoration",2665,708,NA,NA,1,935
2839,"restoration",736,893,NA,NA,1,913
2844,"restoration",7,952,7,479,2,845
2845,"restoration",1515,866,NA,NA,1,948
2846,"restoration",16,946,16,472,2,688
2847,"restoration",13,948,13,476,2,762
2849,"restoration",913,894,913,432,2,684
2850,"restoration",6,951,6,478,2,834
2852,"restoration",2665,775,2665,375,2,849
2853,"restoration",3126,667,762,455,2,742
2854,"restoration",1354,879,NA,NA,1,942
2855,"restoration",5731,448,4263,250,2,686
2856,"restoration",4247,573,NA,NA,1,947
2859,"restoration",4114,592,3006,342,2,794
2860,"restoration",3283,647,2813,343,2,726
2861,"restoration",1332,783,765,421,2,644
2869,"restoration",0,950,0,477,0,956
2872,"restoration",282,908,NA,NA,1,902
2873,"restoration",268,912,NA,NA,1,906
2874,"restoration",450,891,9,457,2,628
2875,"restoration",1394,802,1394,394,2,660
2876,"restoration",5166,434,NA,NA,1,873
2877,"restoration",2423,638,160,450,2,602
2879,"restoration",1879,760,196,464,2,676
2880,"restoration",455,929,NA,NA,1,931
2881,"restoration",2351,672,NA,NA,1,898
2882,"restoration",1443,761,NA,NA,1,890
2884,"restoration",3009,515,5883,124,3,38
2902,"restoration",19338,15,3315,233,3,71
2903,"restoration",11046,135,6415,125,3,403
2904,"restoration",9734,161,9371,60,3,212
2910,"preservation",3102,263,2431,120,2,184
2911,"restoration",15287,40,13810,13,3,22
2912,"restoration",331,781,NA,NA,1,723
2915,"restoration",12728,76,12202,26,3,149
2916,"restoration",16185,34,18,438,2,487
2917,"restoration",19781,20,NA,NA,1,896
2918,"restoration",7844,247,7844,88,3,248
2919,"restoration",4946,524,3503,306,2,766
2920,"restoration",7631,374,1096,452,2,829
2922,"restoration",6619,394,6700,146,3,609
2923,"restoration",1570,792,1570,393,3,597
2924,"restoration",9677,217,9677,74,3,626
2925,"restoration",4490,538,4490,245,3,643
2926,"restoration",5662,489,3238,334,2,825
2927,"restoration",2124,773,NA,NA,1,946
2928,"restoration",682,870,NA,NA,1,889
2929,"restoration",7214,344,6363,157,3,607
2930,"restoration",10204,201,NA,NA,1,940
2931,"restoration",3698,585,NA,NA,1,929
2932,"restoration",5215,486,NA,NA,1,937
2933,"restoration",3010,610,3010,292,3,526
2934,"restoration",7642,316,4959,214,2,673
2935,"restoration",5670,443,4855,220,3,601
2936,"restoration",8513,240,193,453,3,498
2937,"restoration",10113,181,NA,NA,1,911
2938,"restoration",2499,611,2399,308,3,318
2939,"restoration",1505,770,NA,NA,1,903
2940,"restoration",11391,108,5770,139,3,175
2941,"restoration",5095,424,568,410,2,551
2942,"restoration",7349,285,2791,289,3,409
2943,"restoration",7876,260,NA,NA,1,866
2944,"restoration",56,943,NA,NA,1,930
2945,"restoration",10848,151,6003,156,2,634
2946,"restoration",7162,261,7126,98,3,159
2947,"restoration",7893,236,5173,168,3,208
2948,"restoration",9074,199,8613,79,3,450
2949,"restoration",9515,212,7297,118,3,588
2950,"restoration",6551,410,5936,180,3,639
2951,"restoration",3617,617,2642,351,3,651
2952,"restoration",4943,498,3020,317,3,622
2953,"restoration",869,923,NA,NA,1,950
2955,"restoration",1784,921,NA,NA,1,954
2957,"restoration",554,937,NA,NA,2,764
2961,"restoration",7167,368,2843,339,3,650
2962,"restoration",1925,734,NA,NA,1,909
2963,"restoration",233,924,NA,NA,1,914
2965,"restoration",26,928,NA,NA,2,649
2970,"restoration",928,881,NA,NA,1,918
2974,"restoration",750,920,NA,NA,1,944
