"ID","Z","coho.pres.m","coho.pres.stan","score.coho.pres","numspp.stan","numspp","score.numsp"
2655,0.848777977366215,1.26141997371752,6461.05,6.91641320042247,3,3,0.848777977366215
689,-1.25596111945159,1.30777965884638,6606.29,6.93249571190988,2,2,1.60544023045833
2316,0.7799233810745,1.23450237355973,6376.72,6.93504755696338,3,3,0.7799233810745
71,-0.725433081804621,1.22817276356176,6356.89,6.93542592104847,3,3,0.725433081804621
75,-0.125873613161326,1.18907792581332,6234.41,6.93761891354483,3,3,0.125873613161326
133,0.443215974103564,1.1868435702921,6227.41,6.95285225832718,2,2,1.0938191805324
2108,1.48636217140875,1.33090843042747,6678.75,6.95532115555365,1,1,2.49184118767528
486,-0.0144121044827591,1.16867825990458,6170.5,6.95689151141509,1,1,2.00005192651481
118,-0.034975086927984,1.16044625577712,6144.71,6.96519639988237,3,3,0.034975086927984
274,-1.05348176796043,1.21898956236955,6328.12,6.98644886988048,1,1,2.26049194544573
2318,0.250208504115817,1.13229976008266,6056.53,6.99772969974588,3,3,0.250208504115817
2094,0.803236671170267,1.16429892308299,6156.78,7.00744412271085,3,3,0.803236671170267
62,-1.67539810763119,1.31127802120532,6617.25,7.01721650111467,2,2,1.95114295197819
1830,-2.19185179794165,1.44863662284057,7047.58,7.02747829760023,2,2,2.40919370415499
2082,0.24105757727024,1.09140786210787,5928.42,7.03827624527343,3,3,0.24105757727024
134,0.317459547472533,1.07164977542736,5866.52,7.06104505487938,1,1,2.02503841056941
2138,1.08701370082535,1.13500013832687,6064.99,7.07456386395896,2,2,1.4770236239756
1522,1.06364727089078,1.13133260333561,6053.5,7.07463711119615,3,3,1.06364727089078
2609,0.644678904371529,1.07721651261166,5883.96,7.07775982283879,3,3,0.644678904371529
933,0.0166187083112413,1.04091142732829,5770.22,7.08466290723253,1,1,2.00006904417471
1238,-0.308073383337982,1.04379693788712,5779.26,7.08845570181404,2,2,1.04637909455479
385,-0.0425231234669285,1.03110579852659,5739.5,7.09457648215098,3,3,0.0425231234669285
1521,0.776109140769714,1.0658085317076,5848.22,7.10227874548877,3,3,0.776109140769714
2329,-0.169496151676144,1.00964002584058,5672.25,7.11793317128884,3,3,0.169496151676144
698,-0.847822525981479,1.05764994211869,5822.66,7.11857308200827,1,1,2.17228060700307
306,-1.38866272387393,1.14258098741673,6088.74,7.11971263667715,2,2,1.71125222006487
1988,-1.52040776180409,1.16781005318777,6167.78,7.12192757073082,2,2,1.81979113146375
2621,0.316288548018767,1.00520323416273,5658.35,7.1273729718257,3,3,0.316288548018767
2654,0.133890479359805,0.987357117421095,5602.44,7.13945330052353,3,3,0.133890479359805
2649,0.105447477026419,0.960698064116477,5518.92,7.16563268893678,2,2,1.00554421603987
2029,-1.46547799784379,1.10900181586925,5983.54,7.1679594129102,2,2,1.77415494311073
2087,-0.0872293579182411,0.920958455203344,5394.42,7.20512443142884,3,3,0.0872293579182411
1527,0.456365320292887,0.934406083504632,5436.55,7.20561515675062,2,2,1.09921303920852
2930,1.72624180302894,1.12743524891931,6041.29,7.20788378208233,1,1,2.64195207422932
2594,-1.3990221542025,1.0487284797161,5794.71,7.21378779591201,2,2,1.71966944147688
680,0.151072160971849,0.90839180136471,5355.05,7.21874401594939,2,2,1.01134702146232
2250,-1.42678352081689,1.04525565284883,5783.83,7.22262748850858,1,1,2.45676844966607
137,0.621347272636084,0.920824393872071,5394,7.2314737971067,3,3,0.621347272636084
25,-0.957860951396409,0.93979726418369,5453.44,7.2493178702663,3,3,0.957860951396409
2304,-0.528048169221499,0.893089657980809,5307.11,7.25171617770386,3,3,0.528048169221499
