Model.catch	CentroidX	CentroidY	Catch.Area.ft2	Catch.Area.ha	2b.Ecoreg	2d.Ecoreg	2e.Ecoreg	2f.Ecoreg	2g.Ecoreg	4a.Ecoreg	4b.Ecoreg	4d.Ecoreg	77a.Ecoreg	77b.Ecoreg	77c.Ecoreg	Impervious	conifer.forest	dense.urban	grass.shrub.crops	light.med.urb	mix.deciduous	regrow.veg	Agriculture	Apt.condo	Commercial	Forest.timber	Industrial	Parks.open.space	Residential	FC00.Road	FC01.Road	FC02.Road	FC07.Road	FC08.Road	FC11.Road	FC12.Road	FC14.Road	FC06.FC16.Road	FC17.Road
4476	1355020	-17948	85861536	798	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.86965870	0.13034130	0.00000000	0.00000000	0.00000000	0.00000000	0.32385466	0.75561264	0.00000000	0.00748353	0.00000000	0.10253546	0.02233888	0.00000000	0.00000000	0.00000000	0.61541011	0.00000000	0.00000000	0.35136736	0.00018868	0.00000000	0.00000000	0.00962268	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4478	1293380	-14589	26762438	249	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.65772299	0.29591105	0.00035868	0.04375897	0.04017217	0.50286944	0.10652798	0.00000000	0.00000000	0.05885151	0.92705190	0.00000000	0.00000000	0.00172380	0.00403872	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00389464	0.00000000
4479	1240178	-23129	264863568	2461	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.82139722	0.50176037	0.00453704	0.07636746	0.03626003	0.32169431	0.01970890	0.00000000	0.15872951	0.00000000	0.30457689	0.00013688	0.07960837	0.43499255	0.01580010	0.00000000	0.00000000	0.00348951	0.00018511	0.00000000	0.00000000	0.00000000	0.00378474	0.00000000
4482	1271978	-15880	36719928	341	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.93693931	0.19942272	0.00157439	0.08108108	0.02519024	0.63789032	0.00787195	0.00000000	0.09392597	0.23958958	0.52713173	0.00095553	0.04703789	0.07935198	0.00403724	0.00000000	0.00000000	0.00496286	0.00000000	0.00000000	0.00000000	0.00000000	0.00107326	0.00000000
4486	1285404	-13854	2626006	24	0.00000000	0.00000000	0.00000000	0.00000000	0.20574429	0.79425571	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.43956044	0.13669065	0.00719424	0.01798561	0.06474820	0.74820144	0.01798561	0.00000000	0.00000000	0.36724018	0.00610471	0.00000000	0.00000000	0.60994524	0.01580004	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4492	1347113	-16932	21808550	203	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.55501331	0.81994704	0.00000000	0.00573698	0.00000000	0.11650485	0.00397176	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4496	1283745	-19157	53882344	501	0.00000000	0.00000000	0.00000000	0.00000000	0.29910270	0.70089730	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.70528967	0.26683336	0.00267905	0.10948384	0.02232542	0.43132702	0.00357207	0.00000000	0.03220012	0.03620000	0.31461194	0.00026773	0.10316802	0.35096205	0.00870628	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01408933	0.00000000
4502	1280700	-17384	15658568	145	0.00000000	0.00000000	0.00000000	0.00000000	0.77794633	0.22205367	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	4.52941176	0.28066914	0.00681537	0.02168525	0.02540273	0.49132590	0.00681537	0.00000000	0.09822303	0.01575668	0.11977468	0.01163599	0.00976545	0.56869670	0.02469990	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4505	1274962	-20113	50928932	473	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	3.41179829	0.22726417	0.00094144	0.08454152	0.02221804	0.64620599	0.01205046	0.00000000	0.13488681	0.00356255	0.23047033	0.00241317	0.06653978	0.53729894	0.01279770	0.00000000	0.00000000	0.00494844	0.00023321	0.00000000	0.00000000	0.00000000	0.00616610	0.00000000
4506	1282549	-15668	582537	5	0.00000000	0.00000000	0.00000000	0.00000000	0.62778133	0.37221867	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01587302	0.01587302	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.05151432	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4510	1283232	-17773	5584409	52	0.00000000	0.00000000	0.00000000	0.00000000	0.00089212	0.99910788	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.51299827	0.13263525	0.00000000	0.00349040	0.00698080	0.82373473	0.00000000	0.00000000	0.00000000	0.00000000	0.54900568	0.00000000	0.14140728	0.24369295	0.01621712	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4516	1230504	-21391	43174112	401	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.52066487	0.30911111	0.00777778	0.13155556	0.04488889	0.34511111	0.04466667	0.00000000	0.20789021	0.00673897	0.08730591	0.00056958	0.03922154	0.64763970	0.01460412	0.00000000	0.00000000	0.00419013	0.00000000	0.00000000	0.00000000	0.00000000	0.00289319	0.00000000
4517	1293797	-20301	29028730	270	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.21008684	0.63268662	0.00000000	0.03255508	0.00460375	0.27754028	0.01348241	0.00000000	0.00000000	0.00000000	0.83091300	0.00000000	0.07458880	0.09418114	0.00150637	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4525	1294095	-23955	116516931	1082	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.69946764	0.48113597	0.00099067	0.02303310	0.00189879	0.37612482	0.04408487	0.00000000	0.00225747	0.00715838	0.94032652	0.00000000	0.00646750	0.04088668	0.00275194	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4526	1322038	-24015	81730480	759	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.04350919	0.36502887	0.00000000	0.03958996	0.00000000	0.34782609	0.07800165	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4528	1266629	-22262	42055664	391	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	3.10179641	0.22915239	0.00068540	0.17934658	0.02695910	0.50605438	0.01485035	0.00000000	0.16884703	0.00000000	0.02468733	0.00151901	0.19921172	0.58339455	0.01467572	0.00000000	0.00000000	0.00266666	0.00010115	0.00000000	0.00000000	0.00000000	0.00529691	0.00000000
