WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
617	2.6919641791	3.3637412232	6.2369506421
618	4.3528074443	4.3528074443	4.3528074443
620	1.0423121543	1.0423121543	1.0423121543
621	1.6450864892	2.2042843678	3.9209730719
622	9.2960590507	9.1194209416	5.9870488658
623	4.6887901728	2.7013176182	8.3009715917
625	3.7127108371	4.9873120374	6.1749134586
626	2.9150180714	2.5607088828	10.7870279804
627	11.0098465600	18.2821520384	31.9330802165
629	3.5850878270	2.0889693225	5.5299554670
630	5.0640856170	7.3190322165	18.9211506820
631	30.0394937710	27.8878704920	24.9547247979
633	28.1194099110	28.4629574106	26.6143586500
634	33.6709234186	33.1137461295	30.7668118342
635	6.4620038515	6.5429381052	10.2274610662
636	5.8028390224	5.8028390224	5.8028390224
640	4.7611807923	4.7611807923	4.7611807923
643	31.0183291345	26.2781672995	29.7065143578
645	22.4498285427	20.7344367597	23.3212326211
646	38.0851767655	28.0876947081	34.2121116844
647	8.7993916320	8.7761983453	8.7995793175
648	3.0803767765	3.0588489212	3.1009134566
652	1.2123569691	1.2123881109	1.2123881109
653	0.7387954198	0.7387478468	0.7388110245
655	4.2200961640	4.2200961640	4.2200961640
666	25.1969731483	18.7557073760	12.0063065141
667	4.9331969624	4.9331969624	4.9331969624
668	5.6212193287	5.6212193287	5.6212193287
670	8.4577003406	6.9983072242	7.4507962011
673	2.6899621068	2.3036524474	3.0442603627
674	0.3983226539	0.3983226539	0.3983226539
675	4.5916891909	3.4930632633	10.0870083766
676	2.2973136410	4.2979214750	5.7372590560
677	1.1873482848	1.1873482848	1.1873482848
678	1.5955284848	1.4923641211	1.6953800477
679	12.8047103205	3.7722569665	29.7587252538
680	1.9262512203	1.8720572464	1.8890866885
682	2.7826163409	2.7826163409	2.7826163409
683	5.4269648201	14.8099516810	22.4081428848
684	1.2101767226	1.2101767226	1.2101767226
685	1.7473928337	1.0551765277	1.2755379588
686	8.6247666512	18.7922014398	26.5720882981
687	8.6210452232	19.1960826294	21.4458584553
688	42.5904588320	5.7862391659	22.5836879417
689	37.7301242703	4.8018349273	18.8411286032
690	14.9584504464	17.0388888562	17.9378702036
691	28.8283690216	6.5430620905	28.4612621708
692	12.7720846639	17.2119150094	36.2753930156
693	6.5891591065	6.5054966782	6.5333916854
694	5.7862707358	5.5970765020	5.8956319523
695	2.8623013164	1.9784298154	3.2828121165
696	17.2788942189	9.9728895843	21.7064359428
698	17.7499254104	7.4189510748	22.8001124109
701	11.1911649204	12.7697433779	19.5215480929
702	6.6635172930	9.5057324241	11.3069378642
703	9.1076109900	8.4680196891	23.5243163183
704	26.0911418377	8.7226528973	32.7438088645
705	15.6712533485	11.5173559874	19.1328018014
706	10.5609146553	7.9962834874	12.3647666942
707	13.4239562057	12.1628214279	14.5922306500
708	0.8598413924	0.8598413924	0.8598413924
