Model.catch	axis1	axis2
470	0.22941	-0.98759
471	-0.28433	0.31864
474	0.38881	-0.38272
475	0.54265	0.4031
476	0.23205	0.4156
478	-0.62958	-0.18516
479	0.23049	-0.98713
480	0.23006	-0.98699
481	0.23281	-0.98721
482	0.23172	-0.98723
483	0.05914	0.24145
484	0.23472	-0.91021
485	-0.13256	0.20612
487	0.24432	0.47508
488	0.2308	-0.98783
489	0.22776	-0.98741
490	0.13863	0.20105
492	0.22616	-0.98773
493	0.22639	-0.98802
495	0.50382	0.31513
498	0.19192	-0.03582
500	-1.42539	0.41866
501	0.22893	-0.98808
502	0.22714	-0.98745
503	0.57082	0.08325
506	0.6809	0.52579
507	0.7559	0.43009
508	0.43564	-0.15091
509	0.69584	-0.17397
510	0.2288	-0.98707
511	-0.77913	-0.05648
512	0.2027	0.38876
517	0.45708	0.62504
518	0.23223	-0.98712
519	0.15561	-0.33177
520	0.22635	-0.98783
521	0.99953	0.06916
523	0.22998	-0.9878
524	0.26275	-0.53593
527	0.23281	-0.98695
528	-0.14824	0.02421
529	0.38237	0.48242
531	0.53502	0.45181
532	0.5387	0.41878
533	-0.17953	0.05549
534	0.12361	0.46555
535	0.22803	-0.9872
536	0.06593	0.47555
537	0.23079	-0.98756
539	0.09488	0.47151
540	0.22859	-0.98743
541	-0.66802	-0.16668
543	0.22644	-0.98812
544	0.22911	-0.98771
545	0.23232	-0.98673
546	-0.69476	-0.14905
547	0.23033	-0.98753
548	0.2296	-0.98774
550	0.03551	0.64876
552	0.22808	-0.988
553	-1.57389	0.53629
554	0.2321	-0.98747
555	0.22879	-0.98789
556	0.22693	-0.98755
557	-0.88086	0.05244
560	0.07438	0.64298
561	0.91267	0.24938
562	0.23252	-0.98685
563	-0.31124	0.26839
564	-0.04936	-0.76499
568	0.55505	0.37694
569	0.58174	0.36879
570	0.06464	0.52567
571	0.55117	0.69311
572	-0.93206	0.08858
573	-1.62611	0.55045
575	-0.64886	-0.20171
579	0.09837	0.35934
580	0.22638	-0.98768
583	0.24972	0.54605
584	0.22661	-0.98785
585	0.22591	-0.98776
586	0.22956	-0.98715
587	0.75917	-0.0008
588	0.23349	-0.98697
590	-1.56227	0.50202
591	-1.62627	0.55
592	0.23248	-0.98746
593	0.22707	-0.98819
595	0.702	0.12574
596	0.23311	-0.98731
597	0.53194	0.25784
598	0.67185	0.02492
600	0.22277	-0.98804
601	0.23028	-0.98687
602	0.22784	-0.98756
603	0.30258	0.37889
604	0.23261	-0.98671
605	0.22675	-0.98811
606	0.14731	0.63512
607	-1.57618	0.53433
608	0.35341	-0.50093
609	0.22825	-0.98813
610	0.22576	-0.98783
611	0.01934	-0.82956
612	0.41457	0.44999
613	-0.34931	-0.50626
614	0.23113	-0.98768
615	0.23151	-0.9873
617	-0.31921	-0.53436
618	-1.61396	0.54836
619	0.2942	0.34047
621	-0.3486	0.38256
622	0.22653	-0.98792
623	0.73718	-0.05651
624	0.18103	0.44754
625	0.2263	-0.98819
627	0.23389	-0.98685
628	-0.4194	-0.44102
629	-0.96685	0.12054
630	-1.21964	0.29031
631	0.22875	-0.98802
632	0.53991	0.63138
634	-1.62452	0.54964
635	0.22567	-0.98788
636	0.43264	-0.24478
637	-1.49345	0.46703
638	0.23187	-0.98751
639	0.23364	-0.98713
640	0.22854	-0.98799
641	-0.6865	-0.15837
642	0.22282	-0.98776
643	0.52955	0.57907
644	0.22625	-0.98763
645	0.15881	0.40831
646	-0.44968	0.26906
647	0.23353	-0.98674
648	0.24281	0.08688
649	0.22751	-0.98802
650	0.73576	0.53955
651	0.23393	-0.98688
653	0.2366	-0.98623
654	0.22731	-0.98817
656	-0.56584	0.3619
657	0.22861	-0.98767
658	-0.08918	-0.73216
659	0.01686	0.56755
660	0.56253	0.07447
662	0.23141	-0.9877
663	0.23302	-0.98684
664	0.23098	-0.98773
665	0.20196	0.31727
667	-0.12278	0.40874
668	0.04139	0.46697
669	-0.02817	0.35719
670	0.23206	-0.98688
671	0.22948	-0.98775
672	0.23163	-0.98742
673	0.77773	0.2581
674	0.23127	-0.98739
676	0.22803	-0.98757
677	0.22558	-0.98801
678	0.2228	-0.98807
680	0.22888	-0.98718
681	0.11169	0.29856
682	-0.13853	0.37177
683	-0.17549	-0.45882
684	-1.57399	0.53358
685	-1.18633	0.28266
686	-0.79083	0.4809
687	0.16307	0.49768
689	0.23381	-0.98681
690	0.23665	-0.98622
692	0.2269	-0.98782
693	0.37171	-0.40362
696	-0.66559	0.55759
697	0.43797	-0.16453
698	0.34858	0.16676
699	0.23111	-0.98722
700	-0.11965	0.49986
701	-0.42105	0.16537
702	0.01762	0.5308
704	-0.30804	0.85675
705	0.45235	-0.15691
706	0.1815	-0.0888
707	-0.13885	0.6343
709	0.13164	0.47721
711	0.58149	0.22645
712	0.24548	-0.88315
713	0.22827	-0.9879
714	0.23063	-0.98695
715	0.60584	0.8891
716	-0.10592	0.61107
717	0.02298	0.49805
718	-1.44569	0.42629
719	0.41752	-0.74075
720	0.23131	-0.98678
721	0.23665	-0.98614
722	0.25583	0.76862
723	0.20737	0.73946
724	0.07919	-0.33099
726	0.15786	-0.59149
727	0.22682	-0.98745
728	0.05235	-0.8562
729	-1.55791	0.55745
730	0.42494	-0.28551
731	0.22686	-0.98808
733	-1.49545	0.59724
734	0.22809	-0.98733
735	0.40653	-0.85283
736	-0.02555	0.25859
737	0.4348	-0.322
739	-1.58411	0.54452
740	-0.39872	0.19915
741	0.22909	-0.98789
742	0.3815	-0.49735
743	0.22604	-0.98778
744	0.2294	-0.98717
745	0.12399	-0.49109
747	0.2372	-0.97373
748	0.58316	1.08688
752	0.07614	0.12622
753	0.23359	-0.98676
754	0.23177	-0.30237
755	-0.10488	0.63091
756	0.52681	0.38528
757	0.23123	-0.98765
758	0.22887	-0.98744
759	0.23662	-0.98622
761	0.45737	-0.14365
762	0.086	0.47089
763	0.23666	-0.90975
764	-1.00603	0.23704
766	0.21411	-0.94339
767	0.22676	-0.98748
768	0.10767	0.71529
769	-0.00777	0.43242
770	-0.35971	-0.02819
771	0.35096	-0.63508
772	-0.47234	0.51513
773	0.23055	-0.98776
774	0.37024	-0.44915
775	-0.97486	0.30897
776	0.61784	0.86518
779	-0.79982	-0.03219
780	0.98731	0.51428
781	0.22584	-0.98789
782	0.55556	-0.17426
784	0.00767	0.15184
786	0.22834	-0.98814
787	0.23011	-0.9869
788	0.21929	-0.98481
791	0.23337	-0.98707
792	0.2397	-0.98226
793	0.35655	-0.59308
794	0.21805	-0.97882
795	0.22798	-0.98742
796	0.55597	0.88064
797	0.57641	0.0727
801	0.28949	-0.69138
802	0.52954	0.338
804	0.58781	-0.21217
805	0.52517	0.05428
806	0.27529	0.19227
808	0.20473	-0.89793
809	-0.32501	0.21261
812	0.22756	-0.98812
813	0.23194	-0.98715
814	0.61879	0.6051
815	0.25225	-0.76961
816	-0.03857	-0.55145
817	0.54204	0.91364
818	0.5514	0.25149
819	0.22489	-0.94337
821	-1.09332	0.22482
822	0.07175	0.36675
824	-1.02082	0.2639
825	0.44071	-0.22814
826	0.27687	0.33582
827	0.23125	-0.98724
830	-0.76886	-0.06268
831	-0.07269	-0.74719
832	-0.01868	-0.78945
833	0.2926	-0.68638
834	0.0092	-0.40914
835	0.22671	-0.98753
836	0.23109	-0.98778
837	0.45507	-0.50568
838	0.25882	0.29256
839	0.17985	-0.49205
841	-0.99714	0.19167
842	0.23386	-0.98682
843	0.23226	-0.97162
845	0.38342	-0.77488
846	0.66195	0.74249
847	0.25834	-0.80568
848	0.3459	0.53051
850	0.22943	-0.98731
851	-0.82599	-0.01361
852	-1.04822	-0.90888
853	0.22953	-0.98753
854	0.2302	-0.98791
855	-0.89264	0.07331
856	0.3389	-0.60331
857	0.5966	0.78489
858	-0.2488	0.58824
859	0.2335	-0.9868
860	0.22717	-0.9882
861	0.2484	-0.82619
863	0.30539	-0.8732
864	0.38288	-0.51864
865	0.49011	0.17733
866	0.23128	-0.98755
867	0.22925	-0.98752
868	0.90016	0.16182
869	-0.06075	-0.74616
870	-0.34746	0.14916
871	-0.13675	0.23053
872	0.06212	-0.82235
873	-0.05812	-0.74157
874	0.53445	0.17562
875	0.2296	-0.98797
876	0.79905	0.74075
877	-0.08167	-0.17704
878	0.44198	-0.83991
879	-0.07311	-0.0246
880	0.22881	-0.98772
881	0.22669	-0.98816
882	-0.52102	-0.32254
883	0.23375	0.61922
885	0.22574	-0.98791
886	0.22873	-0.98728
887	0.51911	-0.2012
894	0.22615	-0.98819
895	0.23093	-0.98697
896	0.21778	-0.87892
898	0.04463	-0.84481
899	0.17708	0.4763
900	0.20444	-0.91438
901	0.22986	-0.98719
902	0.15143	0.35013
904	0.22591	-0.98801
905	0.22253	-0.8742
906	0.22891	-0.98794
908	-0.19082	0.54929
909	0.34088	-0.726
910	0.28825	-0.40321
911	0.22811	-0.96292
912	0.35735	-0.87234
913	-0.4306	-0.23658
914	0.1269	-0.87625
915	0.22786	-0.98817
916	0.31604	-0.57473
917	0.23264	-0.98724
918	0.58292	0.65087
919	-0.03124	0.13813
920	0.23738	-0.85582
921	0.47355	-0.16376
922	0.22985	-0.98771
923	0.02397	-0.78648
924	-1.63257	0.5518
925	0.22814	-0.98787
926	0.23093	-0.98736
927	0.2332	-0.98671
928	0.85037	0.32156
929	0.22567	-0.98808
930	0.22759	-0.98781
931	0.22989	-0.98796
933	0.06454	0.49593
934	0.31998	-0.89443
935	0.23011	-0.97014
936	0.22689	-0.98745
937	-1.57434	0.53246
939	0.2269	-0.98821
940	0.23376	-0.98697
941	0.01059	-0.82036
942	0.59986	0.19277
943	0.22996	-0.98729
944	-1.57419	0.53299
945	0.22664	-0.98821
946	0.23314	-0.98721
947	0.22886	-0.98731
948	0.22766	-0.98818
949	0.41917	-0.26055
950	0.57596	0.16658
951	-1.57406	0.53338
952	0.22601	-0.98786
954	0.2283	-0.9875
955	-0.50757	-0.35276
956	0.43396	-0.37776
957	0.50954	0.34881
958	0.22771	-0.98756
960	0.23325	-0.98719
961	0.22843	-0.98715
962	-1.60985	0.54521
963	0.64665	-0.10422
964	0.8674	0.18229
965	0.23242	-0.987
966	0.2314	-0.98758
967	-0.106	-0.9021
969	0.53951	0.24357
970	-0.17082	0.57106
971	0.22817	-0.98718
972	0.2334	-0.98694
973	0.09897	0.43519
974	0.43869	-0.23658
975	0.22948	-0.98707
976	0.23149	-0.98689
977	-0.14333	0.57964
978	0.32206	0.31672
979	-0.32115	-0.53224
981	0.54607	0.27257
982	0.50733	0.32422
984	0.23373	-0.98706
985	0.23242	-0.98678
986	0.53473	0.46334
987	0.50991	-0.05144
988	0.2326	-0.98744
989	0.14751	-0.93861
990	-0.00148	-0.81269
992	0.22797	-0.98723
994	0.2274	-0.98802
995	0.22799	-0.98785
997	0.22918	-0.98805
998	0.52877	0.45175
1000	0.23095	-0.98681
1002	0.2272	-0.98737
1005	0.34698	-0.77426
1008	0.23275	-0.98671
1009	0.22901	-0.98799
1012	0.29169	-0.91398
1014	0.23072	-0.98775
1016	0.40713	-0.30979
1017	0.64514	0.60082
1018	0.22564	-0.98803
1019	0.23013	-0.98709
1020	-0.49578	-0.36392
1024	0.22966	-0.98756
1025	0.30171	0.39918
1027	-0.47082	-0.16412
1028	0.25912	0.40608
1029	0.38703	-0.429
1030	0.22601	-0.98817
1032	0.22928	-0.98803
1033	0.22278	-0.98808
1035	0.30859	-0.71
1037	0.22724	-0.9882
1038	0.22572	-0.988
1041	0.22731	-0.98792
1042	0.59519	0.12989
1043	0.55858	0.2567
1044	0.5843	0.18144
1045	0.22831	-0.98777
1047	0.35342	-0.50072
1048	-0.19874	0.11993
1049	0.22994	-0.98709
1052	0.23058	-0.98747
1053	1.12822	0.3334
1055	-0.3911	-0.82576
1056	0.22839	-0.98734
1058	0.86051	-0.07604
1059	0.2281	-0.98814
1060	0.22941	-0.98698
1061	0.56434	-0.35479
1062	0.22993	-0.98692
1065	0.27578	-0.93207
1066	0.2308	-0.98729
1068	0.23023	-0.97048
1069	0.2453	-0.8478
1070	0.58566	0.69617
1073	0.42599	-0.84576
1074	0.23172	-0.98765
1075	1.57951	-0.39536
1076	0.52341	0.2033
1077	0.08562	-0.88067
1078	0.24063	-0.96338
1079	0.27362	-0.9378
1081	0.23226	-0.98676
1082	0.23068	-0.98738
1083	0.88588	0.50306
1085	0.32211	0.34501
1086	0.52332	0.57884
1088	-0.72684	-0.92128
1090	0.70184	-0.28797
1092	0.55604	0.70201
1093	0.03706	-0.51895
1094	0.22914	-0.98703
1095	0.23668	-0.98623
1097	0.49984	0.13847
1100	0.22967	-0.98799
1101	0.2261	-0.98793
1102	0.27614	-0.9297
1103	0.70441	-0.62766
1104	0.22776	-0.98811
1105	0.2271	-0.98738
1106	0.75278	0.64389
1107	0.23054	-0.95557
1108	0.23208	-0.98718
1109	0.23239	-0.98671
1110	0.77698	0.68093
1111	0.31947	-0.89659
1112	0.23279	-0.98732
1113	0.33128	-0.78075
1115	0.62571	0.34554
1116	-0.04745	0.37798
1117	0.26028	-0.83188
1119	0.22821	-0.96907
1120	-0.7464	-0.95468
1121	0.52046	-0.62332
1123	0.73166	-0.09026
1124	0.46113	0.52427
1125	-0.21792	0.19069
1126	0.23345	-0.98673
1127	0.32024	-0.89371
1128	0.51901	0.11137
1129	0.49794	-0.51037
1133	0.19792	-0.93253
1134	0.47016	-0.4318
1136	0.56309	0.89162
1137	0.49955	-0.34227
1138	0.19767	-0.9351
1139	-0.03531	-0.75706
1140	0.22791	-0.9881
1142	1.15708	0.22117
1143	0.22752	-0.98735
1144	0.61217	-0.56344
1145	0.03712	-0.83974
1146	0.22941	-0.98743
1148	0.22866	-0.98796
1149	0.33362	-0.8849
1152	0.86504	0.65214
1153	0.86754	0.68905
1154	0.15476	0.49452
1155	0.23394	-0.98692
1156	0.23103	-0.98764
1157	0.23368	-0.98691
1158	0.49672	-0.01744
1163	0.57547	0.71544
1164	0.30569	0.49323
1165	0.20769	0.5659
1171	0.51706	0.4064
1172	0.45756	0.65379
1173	0.23879	-0.97459
1174	0.40926	0.34791
1175	0.20746	-0.92059
1176	0.52218	0.50605
1177	0.229	-0.98734
