Model.catch	axis1	axis2
531	0.16144	-0.78255
532	0.05468	-0.67155
533	0.02651	-0.57676
534	0.03614	-0.62396
535	0.0193	-0.41773
536	0.02333	-0.54791
537	0.02368	-0.17935
539	0.02375	-0.55204
540	0.02881	-0.59317
541	0.02014	-0.38891
543	0.01806	-0.47507
544	0.02351	-0.5492
545	0.0065	0.08078
546	0.02309	-0.26124
547	0.02134	-0.32824
548	0.02007	-0.38949
550	0.09855	-0.59873
552	0.02076	-0.34996
553	0.01944	-0.40901
554	0.02402	-0.27717
555	0.0188	-0.48387
556	0.01949	-0.4128
557	0.01996	-0.38979
560	0.14123	-0.57741
561	0.10446	-0.60106
562	0.02698	-0.20161
563	0.01881	-0.45898
564	0.02548	-0.20645
568	0.04997	-0.65793
569	0.11193	-0.66155
570	0.02388	-0.553
571	0.03749	-0.62772
572	-0.0262	1.75105
573	0.01871	-0.44171
575	0.01905	-0.39938
579	-0.22695	-0.46349
580	0.01884	-0.41979
583	0.15443	-0.66545
584	0.02013	-0.38894
585	0.01844	-0.46612
586	0.03176	-0.6046
587	0.11132	-0.53626
588	-0.02665	1.75103
590	0.01834	-0.46231
591	0.00752	0.04028
592	-0.02634	1.75105
593	0.02587	-0.57223
595	0.00397	-0.69958
596	0.02283	-0.18722
597	0.21568	-0.52637
598	0.20948	-0.69267
600	-0.02631	1.75105
601	0.01864	-0.42157
602	-0.0261	1.75105
603	0.11776	-0.61362
604	0.01807	-0.47394
605	0.02106	-0.34876
606	0.12561	-0.64447
607	0.02128	-0.52691
608	-0.0264	1.75104
609	0.01879	-0.1012
610	0.03484	-0.62014
611	-0.02657	1.75104
612	-0.09071	-0.64242
613	-0.0266	1.75104
614	0.02157	-0.37173
615	0.02057	-0.3754
617	0.01856	-0.46478
618	0.02105	-0.37396
619	0.03349	-0.61591
621	0.02151	-0.34198
622	0.0189	-0.40535
623	0.13443	-0.61162
624	0.02295	-0.54196
625	-0.0265	1.75105
627	0.02079	-0.14307
628	0.01887	-0.45837
629	-0.02621	1.75105
630	0.0221	-0.286
631	-0.02646	1.75104
632	0.04265	-0.64344
634	-0.02664	1.75104
635	0.01954	-0.4154
636	0.01955	-0.11633
637	0.01828	-0.4728
638	0.02	-0.50515
639	-0.02674	1.75104
640	-0.02622	1.75105
641	0.01877	-0.42089
642	-0.02678	1.75104
643	0.14161	-0.64538
644	-0.02659	1.75104
645	0.02516	-0.56482
646	0.02028	-0.36274
647	0.02045	-0.37683
648	-0.03569	-0.62222
